,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
164,GMRE,Global Medical REIT Inc.,627.41M,-1.76%,475239,141.05M
165,DHC,Diversified Healthcare Trust,625.09M,-2.21%,1346723,1.41B
166,REAX,The Real Brokerage Inc.,616.30M,-,390240,689.16M
167,WSR,Whitestone REIT,608.68M,1.24%,250915,144.36M
168,TRTX,"TPG RE Finance Trust, Inc.",589.47M,0.40%,401231,116.39M
169,FRPH,"FRP Holdings, Inc.",573.80M,0.13%,9203,41.25M
170,PGRU,PropertyGuru Limited,555.54M,2.05%,75164,113.74M
171,FPI,Farmland Partners Inc.,542.25M,-0.36%,202945,57.47M
172,GOOD,Gladstone Commercial Corporation,541.03M,0.38%,242462,147.58M
173,UHT,Universal Health Realty Income Trust,537.48M,-1.80%,94111,95.58M
174,SRG,Seritage Growth Properties,524.49M,-0.53%,277931,34.56M
175,CLDT,Chatham Lodging Trust,515.52M,-,233891,311.11M
176,LAND,Gladstone Land Corporation,478.65M,-1.05%,123743,90.40M
177,LSEA,Landsea Homes Corporation,474.77M,2.27%,101090,1.21B
178,OLP,"One Liberty Properties, Inc.",474.59M,1.88%,52944,90.65M
179,FPH,"Five Point Holdings, LLC",450.87M,5.30%,31133,211.73M
180,IVR,Invesco Mortgage Capital Inc.,447.29M,1.19%,823538,3.87M
181,ORC,"Orchid Island Capital, Inc.",444.80M,0.69%,652614,-20.70M
182,ACRE,Ares Commercial Real Estate Corporation,416.33M,0.92%,361696,92.93M
183,STRW,Strawberry Fields REIT LLC,411.81M,-2.27%,456,97.90M
184,MLP,"Maui Land & Pineapple Company, Inc.",404.26M,1.99%,43282,9.05M
185,PSTL,"Postal Realty Trust, Inc.",393.80M,-0.49%,57025,63.71M
186,CTO,"CTO Realty Growth, Inc.",389.80M,-0.41%,220256,109.12M
187,RMR,The RMR Group Inc.,389.65M,-0.89%,80479,973.25M
188,TCI,"Transcontinental Realty Investors, Inc.",337.80M,1.52%,559,49.24M
189,NLOP,Net Lease Office Properties,332.04M,-2.98%,185736,174.97M
190,NREF,"NexPoint Real Estate Finance, Inc.",330.87M,-0.14%,53405,28.68M
191,ARL,"American Realty Investors, Inc.",320.46M,-4.49%,478,49.76M
192,BRT,BRT Apartments Corp.,299.40M,-0.25%,33819,92.82M
193,REFI,"Chicago Atlantic Real Estate Finance, Inc.",297.82M,-1.10%,74407,57.07M
194,ILPT,Industrial Logistics Properties Trust,266.66M,-2.47%,246578,437.34M
195,AOMR,"Angel Oak Mortgage, Inc.",258.39M,-0.29%,50204,17.01M
196,FLJ,FLJ Group Limited,257.96M,1.32%,43239,-
197,RMAX,"RE/MAX Holdings, Inc.",257.94M,-2.60%,133500,325.67M
198,AFCG,"AFC Gamma, Inc.",251.83M,1.60%,141533,64.18M
199,NEN,New England Realty Associates LP,251.34M,-,20,72.46M
200,GPMT,Granite Point Mortgage Trust Inc.,243.55M,-,194136,-19.81M
201,PINE,"Alpine Income Property Trust, Inc.",237.47M,-0.37%,38620,45.64M
202,FSP,Franklin Street Properties Corp.,233.75M,-2.21%,318221,145.71M
203,OZ,"Belpointe PREP, LLC",220.84M,-1.83%,2853,2.16M
204,OPAD,Offerpad Solutions Inc.,219.10M,1.25%,93823,1.31B
205,CLPR,Clipper Realty Inc.,213.60M,-1.21%,23553,136.35M
206,ONL,Orion Office REIT Inc.,195.24M,-0.86%,485294,195.04M
207,SDHC,Smith Douglas Homes Corp.,184.08M,1.41%,50125,755.35M
