,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
156,CPAC,Cementos Pacasmayo S.A.A.,537.70M,0.93%,6555,525.63M
157,GATO,"Gatos Silver, Inc.",529.93M,3.74%,354408,-
158,TGB,Taseko Mines Limited,519.71M,-4.44%,1688800,394.72M
159,HDSN,"Hudson Technologies, Inc.",516.45M,-2.41%,475070,291.61M
160,ODC,Oil-Dri Corporation of America,509.80M,2.70%,11829,429.92M
161,EXK,Endeavour Silver Corp.,505.84M,-1.38%,6980006,205.46M
162,LWLG,"Lightwave Logic, Inc.",500.58M,-0.24%,502508,40.50K
163,LZM,Lifezone Metals Limited,496.53M,0.86%,31402,3.99M
164,SVM,Silvercorp Metals Inc.,493.33M,0.36%,1332246,206.65M
165,IAUX,i-80 Gold Corp.,480.12M,-2.53%,1952794,40.72M
166,TMC,TMC the metals company Inc.,474.87M,12.90%,9435637,-
167,ARMN,Aris Mining Corporation,452.73M,-1.50%,180903,447.67M
168,VHI,"Valhi, Inc.",438.19M,2.58%,7760,1.98B
169,SKE,Skeena Resources Limited,406.89M,-2.44%,245600,-
170,MUX,McEwen Mining Inc.,400.10M,1.97%,584287,135.79M
171,IPX,IperionX Limited,321.74M,-3.87%,45052,-
172,AVD,American Vanguard Corporation,311.94M,-0.28%,71690,567.17M
173,GROY,Gold Royalty Corp.,304.56M,-5.26%,923049,2.61M
174,VZLA,Vizsla Silver Corp.,280.10M,3.33%,410712,-
175,RYAM,Rayonier Advanced Materials Inc.,274.02M,-0.96%,256586,1.64B
176,PLL,Piedmont Lithium Inc.,266.99M,-2.85%,481490,39.82M
177,GAU,Galiano Gold Inc.,265.47M,-1.68%,699880,-
178,IPI,"Intrepid Potash, Inc.",265.44M,-1.33%,173332,279.08M
179,MTA,Metalla Royalty & Streaming Ltd.,263.70M,-3.91%,504671,2.91M
180,FF,FutureFuel Corp.,250.76M,-1.75%,202604,394.06M
181,PPTA,Perpetua Resources Corp.,249.22M,3.15%,436420,-
182,MSB,Mesabi Trust,235.57M,-1.60%,30770,14.46M
183,WRN,Western Copper and Gold Corporation,235.18M,1.49%,111188,-
184,SLI,Standard Lithium Ltd.,227.20M,-3.91%,1346441,-
185,NMG,Nouveau Monde Graphite Inc.,221.81M,-0.84%,44527,-
186,IONR,ioneer Ltd,218.85M,3.35%,23669,-
187,ODV,Osisko Development Corp.,211.74M,-1.59%,99059,32.55M
188,CTGO,"Contango Ore, Inc.",209.76M,-5.58%,14858,-
189,CMCL,Caledonia Mining Corporation Plc,205.57M,-0.09%,29729,141.83M
190,USAP,"Universal Stainless & Alloy Products, Inc.",200.40M,0.19%,87653,262.36M
191,EMX,EMX Royalty Corporation,199.70M,-3.35%,178307,12.48M
192,DC,Dakota Gold Corp.,184.76M,0.94%,130877,-
193,TSE,Trinseo PLC,178.43M,-2.46%,247540,3.68B
194,DNMR,"Danimer Scientific, Inc.",177.51M,-2.35%,844778,51.06M
195,SMID,Smith-Midland Corporation,174.65M,-1.05%,10973,57.68M
196,GEVO,"Gevo, Inc.",173.18M,-,3650711,17.20M
197,CMT,"Core Molding Technologies, Inc.",172.24M,-0.72%,117703,370.40M
198,AMLI,American Lithium Corp.,166.36M,-3.46%,303239,-
199,ATLX,Atlas Lithium Corporation,164.73M,-0.41%,46157,620.00
200,GLDG,GoldMining Inc.,162.22M,4.65%,879410,-
201,NAK,Northern Dynasty Minerals Ltd.,162.14M,4.13%,3387559,-
202,NEWP,New Pacific Metals Corp.,161.35M,6.33%,773369,-
203,ALTO,"Alto Ingredients, Inc.",153.04M,-9.46%,2919803,1.28B
204,NWGL,Nature Wood Group Limited,151.60M,-0.83%,23177,55.34M
205,NTIC,Northern Technologies International Corporation,134.58M,-,6500,80.13M
206,LOOP,"Loop Industries, Inc.",131.18M,-1.45%,20971,119.49K
207,AREC,American Resources Corporation,129.14M,-4.24%,116852,21.36M
208,FRD,"Friedman Industries, Incorporated",128.09M,-0.93%,8158,508.21M
209,THM,International Tower Hill Mines Ltd.,125.87M,1.54%,381724,-
210,PLG,Platinum Group Metals Ltd.,120.93M,-1.69%,168725,-
211,LGO,Largo Inc.,114.01M,1.69%,24432,202.02M
212,TRX,TRX Gold Corporation,111.36M,-2.63%,377288,38.01M
213,ACNT,Ascent Industries Co.,106.52M,-2.00%,6256,280.79M
214,ABAT,American Battery Technology Company,101.69M,-2.49%,992946,-
215,FEAM,5E Advanced Materials Inc.,99.36M,-7.96%,90856,-
216,IDR,"Idaho Strategic Resources, Inc.",96.95M,1.26%,37980,13.31M
217,NB,NioCorp Developments Ltd.,96.31M,2.95%,129393,-
218,VOXR,Vox Royalty Corp.,96.19M,-2.34%,152035,12.31M
219,GLT,Glatfelter Corporation,95.71M,-3.00%,663462,1.39B
220,ORGN,"Origin Materials, Inc.",86.41M,-5.67%,1351888,28.81M
221,TMQ,Trilogy Metals Inc.,74.65M,1.84%,23705,-
222,USGO,U.S. GoldMining Inc.,72.36M,1.57%,9188,-
223,ASM,Avino Silver & Gold Mines Ltd.,69.13M,-1.55%,543398,46.01M
224,FURY,Fury Gold Mines Limited,62.08M,-1.16%,56064,-
225,VGZ,Vista Gold Corp.,57.27M,-2.05%,183876,-
226,ITRG,Integra Resources Corp.,54.66M,-1.00%,342020,-
227,USAS,Americas Gold and Silver Corporation,54.54M,-4.62%,1046538,84.89M
228,EVA,Enviva Inc.,49.28M,-9.71%,2661225,1.13B
229,HYMC,Hycroft Mining Holding Corporation,45.68M,-1.32%,101358,11.47M
