,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
959,SWIN,Solowin Holdings Ordinary Share,29.56M,-4.78%,145422,4.45M
960,ABTS,Abits Group Inc.,29.30M,1.27%,26377,131.28K
961,PPHP,PHP Ventures Acquisition Corp.,28.75M,-2.74%,1225,-
962,AGBA,AGBA Acquisition Limited,28.58M,-5.37%,74892,-
963,MIGI,"Mawson Infrastructure Group, Inc.",28.13M,-12.03%,407633,46.41M
964,SWAG,Stran & Company Inc,26.75M,-5.04%,18010,70.86M
965,SAI,SAI.TECH Global Corporation,24.67M,1.04%,63339,8.29M
966,BTCS,BTCS Inc.,24.64M,-9.55%,359167,1.28M
967,CWD,CaliberCos Inc.,24.05M,-2.63%,18663,88.46M
968,GBNY,"Generations Bancorp NY, Inc.",22.69M,-2.64%,2011,11.09M
969,TCJH,Top KingWin Ltd,22.57M,10.46%,414683,3.12M
970,BENF,Beneficient,22.34M,-8.79%,3663619,-160.64M
971,EQS,"Equus Total Return, Inc.",20.14M,-1.35%,7289,60.00K
972,RMCO,Royalty Management Holding Corporation,19.70M,-14.49%,107731,239.05K
973,PT,Pintec Technology Holdings Limited,18.10M,-,56451,9.65M
974,GLBZ,Glen Burnie Bancorp,18.02M,0.80%,9278,13.84M
975,GRDI,GRIID Infrastructure Inc.,17.37M,-6.86%,196029,27.21M
976,NISN,"Nisun International Enterprise Development Group Co., Ltd",17.32M,2.33%,83493,243.07M
977,SVMH,SRIVARU Holding Limited,17.30M,6.17%,1519122,112.41K
978,MCVT,"Mill City Ventures III, Ltd.",16.60M,-,1536,2.51M
979,PNBK,"Patriot National Bancorp, Inc.",15.46M,0.27%,329,26.35M
980,COHN,Cohen & Company Inc.,14.82M,-0.99%,4859,82.98M
981,PWM,Prestige Wealth Inc.,14.46M,-5.33%,94995,348.53K
982,MEGL,Magic Empire Global Limited,14.41M,0.14%,132360,1.20M
983,CNFR,"Conifer Holdings, Inc.",13.32M,-5.56%,685,106.12M
984,LBBB,Lakeshore Acquisition II Corp.,10.76M,-40.00%,136261,-
985,HNRA,HNR Acquisition Corp,10.57M,121.80%,13438763,-
986,AAMC,Altisource Asset Management Corporation,10.20M,-6.50%,2694,5.63M
987,PAPL,Pineapple Financial Inc.,10.20M,-4.66%,10803,2.18M
988,ATIF,ATIF Holdings Limited,9.86M,-9.79%,4484,2.28M
989,AIHS,Senmiao Technology Limited,9.76M,-2.88%,28803,7.30M
990,CARV,"Carver Bancorp, Inc.",8.48M,-3.55%,7918,27.57M
991,LMFA,"LM Funding America, Inc.",8.31M,-3.92%,452030,10.05M
992,CURO,CURO Group Holdings Corp.,7.97M,-50.75%,3871559,517.39M
993,AINC,Ashford Inc.,7.71M,10.32%,11409,737.46M
994,SNTG,Sentage Holdings Inc.,7.04M,-3.59%,6224,-16.04K
995,OXBR,Oxbridge Re Holdings Limited,6.40M,10.67%,75551,-4.10M
996,LGHL,Lion Group Holding Ltd.,3.54M,-5.70%,155313,15.18M
997,NCPL,Netcapital Inc.,2.00M,-4.23%,572363,8.94M
998,TIRX,Tian Ruixiang Holdings Ltd,1.90M,1.25%,26702,1.13M
999,RELI,"Reliance Global Group, Inc.",1.84M,0.88%,53661,14.57M
1000,DXF,Dunxin Financial Holdings Limited,1.33M,5.91%,64881,-2.77M
1001,AIMAU,Aimfinity Investment Corp. I,20.54K,-1.74%,15016,-
