,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
296,VZIO,VIZIO Holding Corp.,2.19B,0.72%,1445924,1.68B
297,PD,"PagerDuty, Inc.",2.19B,-1.59%,724447,420.55M
298,PRFT,"Perficient, Inc.",2.19B,0.62%,107292,906.54M
299,SITM,SiTime Corporation,2.17B,-0.60%,159189,143.99M
300,DAVA,Endava plc,2.15B,0.80%,743055,968.73M
301,XRX,Xerox Holdings Corporation,2.09B,0.24%,2307216,6.89B
302,SHLS,"Shoals Technologies Group, Inc.",2.07B,-6.39%,3974205,488.94M
303,LSPD,Lightspeed Commerce Inc.,2.05B,0.22%,557613,863.28M
304,SWI,SolarWinds Corporation,2.04B,0.16%,212468,758.74M
305,IONQ,"IonQ, Inc.",2.04B,0.82%,8172862,22.04M
306,UCTT,"Ultra Clean Holdings, Inc.",2.04B,0.90%,222743,1.73B
307,AGYS,"Agilysys, Inc.",2.03B,0.75%,148833,228.14M
308,BMBL,Bumble Inc.,1.98B,-3.22%,3622367,1.05B
309,VECO,Veeco Instruments Inc.,1.96B,1.12%,335221,666.44M
310,VRNT,Verint Systems Inc.,1.95B,0.29%,263452,881.53M
311,DQ,Daqo New Energy Corp.,1.94B,1.69%,2214369,2.31B
312,ARRY,"Array Technologies, Inc.",1.93B,-3.79%,6351151,1.58B
313,FSLY,"Fastly, Inc.",1.88B,-2.07%,2158489,505.99M
314,RUM,Rumble Inc.,1.87B,18.26%,11269316,80.53M
315,SOUN,"SoundHound AI, Inc.",1.85B,15.89%,90267986,45.87M
316,ACMR,"ACM Research, Inc.",1.84B,3.56%,1158144,557.72M
317,PLAB,"Photronics, Inc.",1.84B,1.90%,326957,897.32M
318,EVCM,EverCommerce Inc.,1.82B,0.83%,90865,667.73M
319,UPBD,"Upbound Group, Inc.",1.80B,1.24%,303031,3.99B
320,BB,BlackBerry Limited,1.79B,0.65%,12582797,831.00M
321,COMP,"Compass, Inc.",1.77B,-1.92%,3288310,4.89B
322,CNXN,"PC Connection, Inc.",1.71B,-0.02%,38877,2.85B
323,SPNS,Sapiens International Corporation N.V.,1.70B,0.16%,67951,514.58M
324,PAYO,Payoneer Global Inc.,1.70B,-1.10%,2225955,831.10M
325,VTEX,VTEX,1.69B,1.01%,445519,201.52M
326,MXL,"MaxLinear, Inc.",1.69B,-4.57%,454274,693.26M
327,NTCT,"NetScout Systems, Inc.",1.69B,0.93%,873287,834.11M
328,PRO,"PROS Holdings, Inc.",1.68B,0.36%,161471,303.71M
329,GRND,Grindr Inc.,1.65B,5.49%,2138474,259.69M
330,VICR,Vicor Corporation,1.62B,-0.71%,171420,405.06M
331,NATL,NCR Atleos Corporation,1.60B,1.53%,352508,-
332,SEMR,"Semrush Holdings, Inc.",1.59B,1.00%,438165,307.68M
333,CSGS,"CSG Systems International, Inc.",1.59B,-1.32%,229026,1.17B
334,DCBO,Docebo Inc.,1.59B,0.15%,92917,180.84M
335,EXTR,"Extreme Networks, Inc.",1.53B,-1.18%,1177139,1.35B
336,JKS,"JinkoSolar Holding Co., Ltd.",1.51B,-2.33%,761489,15.94B
337,COHU,"Cohu, Inc.",1.50B,0.38%,220590,636.32M
338,TTMI,"TTM Technologies, Inc.",1.50B,-0.48%,364954,2.23B
339,STER,Sterling Check Corp.,1.48B,-0.13%,2454092,719.64M
340,KN,Knowles Corporation,1.48B,-3.03%,403585,707.60M
341,GDS,GDS Holdings Limited,1.46B,-1.15%,1674627,9.80B
342,HLIT,Harmonic Inc.,1.46B,-0.46%,936762,607.91M
343,SMTC,Semtech Corporation,1.45B,3.41%,781714,843.32M
344,AVPT,"AvePoint, Inc.",1.45B,-0.51%,441225,271.83M
345,EVBG,"Everbridge, Inc.",1.44B,-0.29%,935446,448.79M
346,MLNK,"MeridianLink, Inc.",1.40B,-3.00%,195938,299.59M
347,CTS,CTS Corporation,1.38B,-0.54%,73948,550.42M
348,BASE,"Couchbase, Inc.",1.36B,2.14%,410530,171.57M
349,AMPL,"Amplitude, Inc.",1.34B,-0.36%,444556,276.28M
350,ZUO,"Zuora, Inc.",1.33B,1.07%,943127,424.03M
351,CSIQ,Canadian Solar Inc.,1.33B,-1.80%,1037333,7.88B
352,PDFS,"PDF Solutions, Inc.",1.32B,1.90%,203730,165.84M
353,CRSR,"Corsair Gaming, Inc.",1.30B,0.63%,329884,1.46B
354,DBD,"Diebold Nixdorf, Incorporated",1.29B,0.65%,105223,3.49B
355,ETWO,"E2open Parent Holdings, Inc.",1.27B,-3.04%,433203,642.37M
356,GCT,GigaCloud Technology Inc.,1.26B,19.46%,2320153,584.70M
357,ICHR,"Ichor Holdings, Ltd.",1.25B,1.07%,105819,811.12M
358,SGH,"SMART Global Holdings, Inc.",1.19B,1.85%,929407,1.25B
359,ADEA,Adeia Inc.,1.18B,0.18%,382939,388.79M
360,PAR,PAR Technology Corporation,1.18B,4.87%,584557,415.82M
361,INDI,"indie Semiconductor, Inc.",1.15B,0.14%,2669647,223.17M
362,FORTY,Formula Systems (1985) Ltd.,1.14B,1.19%,468,2.64B
363,TASK,"TaskUs, Inc.",1.12B,-,145139,924.37M
364,BHE,"Benchmark Electronics, Inc.",1.11B,1.03%,314225,2.84B
365,IMOS,ChipMOS TECHNOLOGIES INC.,1.09B,2.36%,27563,766.03M
366,ATEN,"A10 Networks, Inc.",1.09B,1.30%,1209975,251.70M
367,DGII,Digi International Inc.,1.09B,0.77%,85820,441.63M
368,PUBM,"PubMatic, Inc.",1.08B,6.97%,1341119,267.01M
