,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
173,LEU,Centrus Energy Corp.,614.48M,1.68%,187439,320.20M
174,CLNE,Clean Energy Fuels Corp.,598.26M,-4.14%,1607278,425.16M
175,NR,"Newpark Resources, Inc.",584.48M,1.46%,441320,749.60M
176,DEC,Diversified Energy Company PLC,564.81M,-,171724,-
177,TXO,TXO Partners L.P.,562.72M,0.05%,29455,380.72M
178,REPX,"Riley Exploration Permian, Inc.",562.22M,-,65980,375.05M
179,PBT,Permian Basin Royalty Trust,561.40M,2.81%,82226,29.10M
180,BRY,Berry Corporation,558.76M,1.78%,1088864,903.46M
181,OBE,Obsidian Energy Ltd.,553.49M,0.14%,227947,514.59M
182,TTI,"TETRA Technologies, Inc.",538.61M,2.18%,1654911,626.26M
183,GPRK,GeoPark Limited,521.90M,0.22%,377485,787.86M
184,SD,"SandRidge Energy, Inc.",496.41M,0.15%,501781,148.64M
185,EGY,"VAALCO Energy, Inc.",463.75M,-1.59%,395062,402.50M
186,URG,Ur-Energy Inc.,430.89M,-1.31%,2057467,17.68M
187,OSG,"Overseas Shipholding Group, Inc.",427.81M,-3.22%,272254,451.87M
188,SGU,"Star Group, L.P.",390.96M,-1.27%,25794,1.83B
189,WTI,"W&T Offshore, Inc.",380.36M,-3.47%,4227209,532.66M
190,SOI,"Solaris Oilfield Infrastructure, Inc.",358.93M,2.52%,398228,292.95M
191,OIS,"Oil States International, Inc.",350.34M,0.18%,1672761,782.28M
192,BOOM,DMC Global Inc.,345.86M,-0.57%,126419,719.19M
193,REI,"Ring Energy, Inc.",318.67M,3.11%,3049304,361.06M
194,CCLP,CSI Compressco LP,307.79M,-0.92%,118884,386.13M
195,UROY,Uranium Royalty Corp.,305.23M,-1.55%,1195807,21.29M
196,HNRG,Hallador Energy Company,276.94M,-2.14%,298262,667.37M
197,BROG,Brooge Energy Limited,265.20M,-2.08%,3699,-
198,SJT,San Juan Basin Royalty Trust,265.02M,2.14%,370745,78.31M
199,RNGR,"Ranger Energy Services, Inc.",253.59M,-1.16%,81062,636.60M
200,AMPY,Amplify Energy Corp.,235.24M,-0.17%,828597,79.21B
201,FET,"Forum Energy Technologies, Inc.",232.90M,-2.16%,15412,738.86M
202,NC,"NACCO Industries, Inc.",221.12M,-3.16%,26425,214.79M
203,NGS,"Natural Gas Services Group, Inc.",214.54M,0.64%,42165,108.77M
204,SMLP,"Summit Midstream Partners, LP",214.21M,-0.10%,34212,417.31M
205,EPM,Evolution Petroleum Corporation,200.07M,-1.00%,273180,96.67M
206,GTE,Gran Tierra Energy Inc.,189.29M,-1.20%,349368,636.96M
207,PNRG,PrimeEnergy Resources Corporation,188.90M,-3.53%,372,111.14M
208,GEOS,Geospace Technologies Corporation,160.87M,-1.41%,43835,143.43M
209,EP,Empire Petroleum Corporation,133.23M,-1.55%,29698,37.42M
210,AMTX,"Aemetis, Inc.",132.94M,0.31%,363369,182.69M
211,KGEI,Kolibri Global Energy Inc.,128.25M,-8.24%,2947,-
212,KLXE,"KLX Energy Services Holdings, Inc.",123.08M,-1.49%,319775,888.40M
213,VTNR,"Vertex Energy, Inc.",115.02M,-2.44%,1739506,3.18B
214,PHX,PHX Minerals Inc.,112.48M,0.33%,60307,50.95M
215,EPSN,Epsilon Energy Ltd.,110.14M,-0.40%,12787,37.38M
216,DLNG,Dynagas LNG Partners LP,104.89M,-,7584,158.59M
217,MMLP,Martin Midstream Partners L.P.,104.52M,-2.64%,24396,797.96M
218,VOC,VOC Energy Trust,103.70M,-0.81%,27987,19.14M
219,CRT,Cross Timbers Royalty Trust,102.54M,1.98%,15200,12.71M
220,BATL,Battalion Oil Corporation,94.79M,-5.22%,8704,250.32M
221,DTI,Drilling Tools International Corp.,89.90M,-1.97%,12565,-
222,NINE,"Nine Energy Service, Inc.",83.37M,-10.17%,968893,609.53M
223,SND,"Smart Sand, Inc.",83.06M,-3.96%,523097,295.97M
224,FTK,"Flotek Industries, Inc.",81.57M,2.18%,129714,194.09M
225,IMPP,Imperial Petroleum Inc.,77.87M,1.94%,388782,183.73M
226,SLNG,"Stabilis Solutions, Inc.",75.27M,-1.98%,1794,73.11M
227,PFIE,"Profire Energy, Inc.",68.05M,11.89%,350458,57.80M
228,AE,"Adams Resources & Energy, Inc.",67.61M,-3.30%,7551,2.78B
229,PED,PEDEVCO Corp.,61.08M,-0.87%,29849,29.97M
230,PRT,PermRock Royalty Trust,53.53M,-0.68%,26027,9.03M
231,NRT,North European Oil Royalty Trust,50.46M,-1.10%,33298,12.68M
232,BPT,BP Prudhoe Bay Royalty Trust,46.65M,-2.29%,33484,22.11M
233,PVL,Permianville Royalty Trust,45.21M,-2.26%,64140,15.17M
234,DWSN,Dawson Geophysical Company,42.52M,6.52%,499,87.25M
235,NCSM,"NCS Multistage Holdings, Inc.",39.12M,-4.80%,552,142.47M
236,SDPI,"Superior Drilling Products, Inc.",27.35M,-2.56%,219624,21.95M
237,CKX,"CKX Lands, Inc.",26.06M,2.27%,171,1.08M
238,USEG,U.S. Energy Corp.,25.81M,-0.99%,27892,35.37M
239,ICD,"Independence Contract Drilling, Inc.",25.65M,-6.59%,49276,210.11M
240,BANL,CBL International Limited,25.25M,0.95%,10682,419.17M
241,VIVK,"Vivakor, Inc.",24.90M,-3.30%,13674,61.79M
242,BRN,"Barnwell Industries, Inc.",22.96M,1.75%,15689,23.91M
243,CEI,"Camber Energy, Inc.",22.15M,1.74%,1674199,10.35M
244,INDO,Indonesia Energy Corporation Limited,21.81M,-0.93%,43282,3.61M
245,RCON,"Recon Technology, Ltd.",21.61M,-0.13%,211715,9.27M
246,MXC,Mexco Energy Corporation,20.54M,-0.10%,558,7.01M
247,MTR,Mesa Royalty Trust,17.71M,-0.94%,10344,4.13M
248,HUSA,Houston American Energy Corp.,13.96M,-,29199,872.18K
249,MARPS,Marine Petroleum Trust,7.96M,1.26%,5802,1.18M
250,ENSV,Enservco Corporation,5.30M,-1.52%,98525,22.08M
251,TPET,Trio Petroleum Corp.,3.87M,-9.22%,2069393,-
