,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
235,AMBP,Ardagh Metal Packaging S.A.,2.09B,0.59%,1349530,4.81B
236,HBI,Hanesbrands Inc.,1.96B,-1.68%,8080352,5.64B
237,BKE,"The Buckle, Inc.",1.91B,1.24%,203482,1.28B
238,WGO,"Winnebago Industries, Inc.",1.90B,-1.51%,592748,3.30B
239,ODP,The ODP Corporation,1.89B,0.57%,282536,7.83B
240,EYE,"National Vision Holdings, Inc.",1.87B,1.29%,993075,2.13B
241,VSTO,Vista Outdoor Inc.,1.86B,0.59%,542600,2.79B
242,CAKE,The Cheesecake Factory Incorporated,1.86B,-0.41%,619259,3.44B
243,SAH,"Sonic Automotive, Inc.",1.77B,0.31%,90735,14.37B
244,DAN,Dana Incorporated,1.76B,0.57%,1053232,10.56B
245,THRM,Gentherm Incorporated,1.76B,0.11%,100688,1.47B
246,SGHC,Super Group (SGHC) Limited,1.73B,2.59%,277489,1.49B
247,KAR,Openlane Inc.,1.73B,0.06%,293303,1.65B
248,PTON,"Peloton Interactive, Inc.",1.73B,-1.49%,7035652,2.73B
249,PHIN,PHINIA Inc.,1.66B,1.09%,877706,3.50B
250,OXM,"Oxford Industries, Inc.",1.64B,1.31%,150180,1.55B
251,CNNE,"Cannae Holdings, Inc.",1.60B,-0.32%,470563,570.00M
252,BYON,"Beyond, Inc.",1.57B,0.76%,782246,1.56B
253,LZB,La-Z-Boy Incorporated,1.56B,-0.93%,387657,2.05B
254,LVWR,"LiveWire Group, Inc.",1.56B,-3.39%,15764,38.02M
255,RVLV,"Revolve Group, Inc.",1.52B,-1.03%,788232,1.07B
256,CBRL,"Cracker Barrel Old Country Store, Inc.",1.51B,-2.92%,614732,3.43B
257,AMWD,American Woodmark Corporation,1.51B,-0.12%,88954,1.88B
258,FWRG,"First Watch Restaurant Group, Inc.",1.48B,-0.24%,1024470,891.55M
259,VSCO,Victoria's Secret & Co.,1.47B,-1.89%,3007366,6.12B
260,LESL,"Leslie's, Inc.",1.45B,-5.48%,1731803,1.43B
261,JACK,Jack in the Box Inc.,1.44B,-1.60%,371395,1.65B
262,XPEL,"XPEL, Inc.",1.43B,-3.39%,87320,396.29M
263,NWTN,NWTN Inc.,1.38B,-5.81%,37183,583.00K
264,GES,"Guess', Inc.",1.38B,-0.31%,740915,2.70B
265,GIII,"G-III Apparel Group, Ltd.",1.35B,2.98%,591778,3.19B
266,MCRI,"Monarch Casino & Resort, Inc.",1.35B,0.21%,139738,501.48M
267,CAL,"Caleres, Inc.",1.32B,1.93%,251523,2.82B
268,PLYA,Playa Hotels & Resorts N.V.,1.32B,-0.10%,826950,977.50M
269,RSI,"Rush Street Interactive, Inc.",1.31B,1.90%,1142433,691.16M
270,MSC,Studio City International Holdings Limited,1.29B,-0.80%,130,445.54M
271,CWH,"Camping World Holdings, Inc.",1.25B,0.44%,600554,6.23B
272,GOOS,Canada Goose Holdings Inc.,1.25B,1.71%,609409,954.14M
273,OSW,OneSpaWorld Holdings Limited,1.25B,2.33%,790013,794.05M
274,OLPX,"Olaplex Holdings, Inc.",1.24B,-1.60%,2069226,458.30M
275,WINA,Winmark Corporation,1.23B,0.63%,11964,83.24M
276,SBH,"Sally Beauty Holdings, Inc.",1.22B,1.81%,1053356,3.70B
277,CARS,Cars.com Inc.,1.18B,-0.83%,355491,689.18M
278,SHCO,Soho House & Co Inc.,1.15B,-0.34%,125875,1.12B
279,EXTO,Almacenes Éxito S.A.,1.13B,-1.23%,67031,5.45B
280,BLBD,Blue Bird Corporation,1.06B,0.21%,458512,1.21B
281,KRUS,"Kura Sushi USA, Inc.",1.03B,4.80%,62824,199.59M
282,TRS,TriMas Corporation,1.01B,0.24%,255043,893.55M
283,BZH,"Beazer Homes USA, Inc.",970.64M,1.27%,285937,2.15B
284,GDEN,"Golden Entertainment, Inc.",969.74M,1.29%,113401,1.05B
285,NGMS,NeoGames S.A.,967.93M,-,14277,191.54M
286,ACEL,"Accel Entertainment, Inc.",955.36M,0.09%,212007,1.17B
287,MNRO,"Monro, Inc.",953.10M,-3.96%,597703,1.28B
288,FIGS,"FIGS, Inc.",937.91M,-4.17%,3151522,545.65M
289,HOV,"Hovnanian Enterprises, Inc.",905.64M,3.00%,55785,2.83B
290,TILE,"Interface, Inc.",899.77M,0.86%,204356,1.26B
291,HIBB,"Hibbett, Inc.",875.35M,0.69%,234779,1.72B
292,EVGO,"EVgo, Inc.",874.39M,-2.19%,2589647,160.95M
293,SCVL,"Shoe Carnival, Inc.",858.72M,-0.92%,186556,1.19B
294,PTLO,Portillo's Inc.,846.37M,-1.82%,624246,679.91M
295,BJRI,"BJ's Restaurants, Inc.",841.21M,1.14%,223587,1.33B
296,MBUU,"Malibu Boats, Inc.",831.12M,-0.17%,119833,1.21B
297,ETD,Ethan Allen Interiors Inc.,831.07M,1.01%,120873,704.86M
298,CHPT,"ChargePoint Holdings, Inc.",808.32M,-4.69%,14939961,543.63M
299,LAZR,"Luminar Technologies, Inc.",805.80M,-0.52%,8957809,69.78M
300,EVRI,Everi Holdings Inc.,782.91M,-1.61%,892932,807.82M
301,AXL,"American Axle & Manufacturing Holdings, Inc.",780.86M,-1.35%,1801926,6.08B
302,SABR,Sabre Corporation,777.94M,-2.97%,5035062,2.91B
303,WWW,"Wolverine World Wide, Inc.",773.54M,1.75%,580871,2.24B
304,MYE,"Myers Industries, Inc.",772.38M,1.05%,160923,813.07M
305,ARKO,Arko Corp.,754.66M,-2.72%,285560,9.41B
306,DIN,"Dine Brands Global, Inc.",739.77M,-0.54%,268823,831.07M
307,WOOF,"Petco Health and Wellness Company, Inc.",712.84M,-4.12%,5609342,6.16B
308,ECX,"ECARX Holdings, Inc.",708.53M,5.53%,206117,4.67B
309,HZO,"MarineMax, Inc.",695.97M,-0.58%,196615,2.41B
310,BWMX,"Betterware de México, S.A.P.I. de C.V.",685.50M,2.90%,28138,737.67M
311,HSAI,Hesai Group,682.91M,-3.91%,1998514,237.28M
312,SMP,"Standard Motor Products, Inc.",675.10M,0.68%,70054,1.36B
313,FLWS,"1-800-FLOWERS.COM, Inc.",657.87M,1.37%,204389,1.91B
314,DADA,Dada Nexus Limited,657.65M,-1.19%,1918877,1.50B
315,JMIA,Jumia Technologies AG,655.01M,2.00%,3150359,207.11M
316,XPOF,"Xponential Fitness, Inc.",653.92M,11.47%,852633,318.66M
317,DESP,"Despegar.com, Corp.",646.03M,-2.25%,234264,647.92M
318,BALY,Bally's Corporation,622.52M,1.76%,1526435,2.41B
319,LEGH,Legacy Housing Corporation,609.80M,0.12%,35256,230.98M
320,MOV,"Movado Group, Inc.",603.45M,0.55%,272473,687.25M
321,SDA,SunCar Technology Group Inc.,597.35M,3.10%,291392,317.06M
322,CHUY,"Chuy's Holdings, Inc.",588.18M,1.94%,109171,461.31M
323,KRT,Karat Packaging Inc.,586.55M,0.10%,31397,402.74M
324,DBI,Designer Brands Inc.,583.35M,0.97%,1036167,3.08B
325,BH,Biglari Holdings Inc.,578.18M,3.32%,4090,365.32M
326,PLOW,"Douglas Dynamics, Inc.",574.83M,-2.52%,139726,568.18M
327,QRTEA,"Qurate Retail, Inc.",553.28M,-2.27%,3373685,10.92B
328,MLR,"Miller Industries, Inc.",551.45M,0.75%,44538,1.15B
329,SES,SES AI Corporation,550.19M,3.87%,235779,-
330,LQDT,"Liquidity Services, Inc.",544.65M,-0.34%,100232,313.51M
331,TAST,"Carrols Restaurant Group, Inc.",544.01M,-,476592,1.88B
332,HVT,"Haverty Furniture Companies, Inc.",526.14M,-0.09%,79257,862.13M
333,HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,524.75M,3.21%,265266,907.59M
334,HVT.A,"Haverty Furniture Companies, Inc.",518.46M,-4.08%,8,862.13M
335,RICK,"RCI Hospitality Holdings, Inc.",518.06M,0.60%,31059,297.73M
336,CURV,Torrid Holdings Inc.,506.98M,-6.17%,39773,1.19B
337,QRTEB,"Qurate Retail, Inc.",497.98M,9.53%,19628,10.92B
338,HLLY,Holley Inc.,482.33M,1.98%,183370,658.16M
339,DENN,Denny's Corporation,478.64M,0.22%,294368,463.92M
340,SRI,"Stoneridge, Inc.",457.94M,0.12%,46572,975.82M
341,JOUT,Johnson Outdoors Inc.,449.60M,-0.82%,40351,624.15M
342,HNST,"The Honest Company, Inc.",447.71M,-3.64%,1788692,344.37M
343,LIND,"Lindblad Expeditions Holdings, Inc.",443.99M,1.93%,178943,569.54M
344,MED,"Medifast, Inc.",432.12M,-2.81%,393245,1.07B
345,CRMT,"America's Car-Mart, Inc.",425.13M,-3.95%,146281,1.42B
346,NEGG,"Newegg Commerce, Inc.",402.94M,4.72%,745104,-
347,ONEW,OneWater Marine Inc.,397.60M,0.74%,66231,1.93B
348,CSV,"Carriage Services, Inc.",393.37M,1.42%,76326,382.52M
349,PBPB,Potbelly Corporation,376.10M,0.77%,338253,491.41M
350,MPX,Marine Products Corporation,370.76M,-2.43%,21756,383.73M
351,NAAS,NaaS Technology Inc.,366.83M,-0.67%,1018928,-
352,SNBR,Sleep Number Corporation,364.50M,-3.11%,438806,1.89B
353,FNKO,"Funko, Inc.",364.06M,2.42%,472897,1.10B
354,PACK,Ranpak Holdings Corp.,360.99M,51.72%,8616785,325.30M
355,MCFT,"MasterCraft Boat Holdings, Inc.",357.54M,-0.52%,128493,537.04M
