,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
175,R,"Ryder System, Inc.",5.04B,-0.72%,162459,11.78B
176,AL,Air Lease Corporation,4.92B,2.87%,2065873,2.68B
177,MOG.A,Moog Inc.,4.82B,0.59%,90140,3.42B
178,SRCL,"Stericycle, Inc.",4.81B,0.71%,648702,2.66B
179,MOG.B,Moog Inc.,4.80B,7.90%,294,3.42B
180,FSS,Federal Signal Corporation,4.75B,0.49%,214685,1.72B
181,ALK,"Alaska Air Group, Inc.",4.71B,3.35%,4236524,10.43B
182,GATX,GATX Corporation,4.70B,-0.47%,103039,1.41B
183,AVAV,"AeroVironment, Inc.",4.68B,1.33%,294143,705.78M
184,FELE,"Franklin Electric Co., Inc.",4.67B,0.13%,75763,2.07B
185,MDU,"MDU Resources Group, Inc.",4.60B,2.23%,1746175,4.66B
186,HRI,Herc Holdings Inc.,4.39B,0.69%,169265,3.28B
187,VMI,"Valmont Industries, Inc.",4.37B,-0.37%,130324,4.17B
188,GTES,Gates Industrial Corporation plc,4.28B,3.76%,2654024,3.57B
189,CPA,"Copa Holdings, S.A.",4.20B,0.81%,193638,2.97B
190,ACA,"Arcosa, Inc.",4.07B,-1.17%,152265,2.31B
191,SNDR,"Schneider National, Inc.",4.07B,-0.73%,572286,5.50B
192,DY,"Dycom Industries, Inc.",4.02B,2.22%,313076,4.18B
193,EXPO,"Exponent, Inc.",4.02B,-0.11%,234139,536.77M
194,SPR,"Spirit AeroSystems Holdings, Inc.",4.00B,-7.78%,5890177,6.05B
195,ERJ,Embraer S.A.,3.98B,-,1119965,4.54B
196,CAR,"Avis Budget Group, Inc.",3.96B,1.21%,398453,12.01B
197,TEX,Terex Corporation,3.92B,-0.72%,411568,5.15B
198,JOBY,"Joby Aviation, Inc.",3.84B,-0.73%,5422547,1.23M
199,KAI,Kadant Inc.,3.78B,0.55%,64197,957.67M
200,ENS,EnerSys,3.77B,-0.78%,82930,3.66B
201,NSP,"Insperity, Inc.",3.76B,-0.60%,217474,6.49B
202,AEIS,"Advanced Energy Industries, Inc.",3.75B,-0.10%,181494,1.66B
203,MATX,"Matson, Inc.",3.74B,0.71%,215154,3.09B
204,VRRM,Verra Mobility Corporation,3.74B,2.26%,876239,817.31M
205,BCO,The Brink's Company,3.73B,0.88%,124042,4.87B
206,CBZ,"CBIZ, Inc.",3.72B,0.59%,261569,1.59B
207,OMAB,"Grupo Aeroportuario del Centro Norte, SAB de CV",3.63B,-0.15%,39034,612.67M
208,ATS,ATS Corporation,3.62B,0.03%,32866,2.20B
209,CSWI,"CSW Industrials, Inc.",3.60B,-0.70%,75133,777.67M
210,GMS,GMS Inc.,3.59B,0.94%,370233,5.39B
211,CAAP,Corporación América Airports S.A.,3.58B,0.93%,85883,1.65B
212,MAN,ManpowerGroup Inc.,3.58B,0.38%,278354,18.91B
